iter	Passed	Remaining
0	7	1562
1	11	1135
2	14	944
3	17	850
4	21	849
5	24	799
6	27	765
7	30	737
8	33	717
9	36	699
10	39	684
11	42	670
12	45	656
13	48	647
14	51	636
15	54	626
16	57	617
17	60	610
18	63	605
19	66	599
20	69	591
21	72	584
22	75	578
23	78	573
24	81	568
25	84	563
26	87	558
27	90	553
28	92	548
29	95	543
30	98	539
31	102	535
32	105	532
33	108	527
34	111	523
35	114	520
36	117	516
37	120	512
38	123	508
39	126	504
40	129	501
41	132	498
42	135	494
43	138	490
44	141	486
45	144	482
46	147	479
47	150	476
48	153	473
49	156	470
50	159	466
51	162	462
52	165	459
53	168	455
54	171	451
55	175	450
56	177	446
57	180	442
58	183	439
59	186	435
60	189	432
61	192	428
62	195	425
63	198	422
64	201	418
65	204	415
66	208	413
67	214	417
68	219	415
69	221	412
70	224	408
71	227	405
72	230	401
73	233	398
74	236	394
75	239	391
76	242	387
77	245	384
78	248	380
79	251	377
80	254	373
81	257	370
82	260	367
83	263	363
84	266	360
85	269	356
86	272	353
87	275	350
88	278	346
89	280	343
90	283	340
91	287	336
92	291	334
93	296	334
94	301	333
95	307	333
96	312	331
97	318	331
98	331	337
99	340	340
100	349	342
101	359	345
102	367	346
103	370	341
104	373	337
105	376	333
106	379	329
107	382	325
108	385	321
109	388	317
110	391	313
111	394	309
112	397	305
113	400	302
114	403	298
115	406	294
116	409	290
117	412	286
118	415	283
119	418	279
120	421	275
121	424	271
122	428	267
123	431	264
124	434	260
125	437	256
126	440	253
127	443	249
128	446	245
129	450	242
130	453	238
131	456	235
132	460	231
133	463	228
134	466	224
135	469	220
136	472	217
137	475	213
138	478	210
139	481	206
140	484	202
141	487	199
142	491	195
143	494	192
144	497	188
145	501	185
146	504	181
147	507	178
148	510	174
149	514	171
150	521	169
151	525	166
152	528	162
153	531	158
154	534	155
155	537	151
156	540	148
157	543	144
158	546	140
159	549	137
160	552	133
161	555	130
162	559	126
163	566	124
164	572	121
165	578	118
166	583	115
167	586	111
168	589	108
169	592	104
170	594	100
171	597	97
172	601	93
173	604	90
174	607	86
175	610	83
176	613	79
177	616	76
178	619	72
179	622	69
180	625	65
181	628	62
182	631	58
183	634	55
184	637	51
185	640	48
186	643	44
187	646	41
188	649	37
189	652	34
190	655	30
191	659	27
192	662	24
193	665	20
194	668	17
195	671	13
196	674	10
197	677	6
198	680	3
199	683	0
